[Jog:SilJuk Make           ; 0:00:05]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:13:24]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:13:34]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:13:44]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:13:55]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:14:05]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:14:15]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:14:25]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:14:35]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:14:45]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:14:55]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:15:05]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:15:15]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:15:25]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:15:35]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:15:46]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:15:56]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:16:06]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:16:16]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:16:26]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:16:36]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:16:46]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:16:56]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:17:06]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:17:16]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:17:27]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:17:37]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:17:47]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:17:57]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:18:07]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:18:17]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:18:27]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:18:37]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:18:47]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:18:57]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:19:08]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:19:18]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:19:28]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:19:38]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:19:48]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:19:58]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:20:08]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:20:18]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:20:28]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:20:39]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:20:49]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:20:59]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:21:09]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:21:19]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:21:29]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:21:39]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:21:49]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:21:59]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:22:09]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:22:19]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:22:30]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:22:40]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:22:50]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:23:00]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:23:10]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:23:20]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:23:30]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:23:40]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:23:50]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:24:00]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:24:10]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:24:20]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:24:31]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:24:41]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:24:51]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:25:01]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:25:11]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:25:21]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:25:31]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:25:41]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:25:51]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:26:01]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:26:11]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:26:21]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:26:31]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:26:42]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:26:52]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:27:02]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:27:12]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:27:22]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:27:32]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:27:42]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:27:52]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:28:02]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:28:13]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:28:23]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:28:33]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:28:43]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:28:53]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:29:03]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:29:13]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:29:23]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:29:33]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:29:44]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:29:54]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:30:04]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:30:14]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:30:24]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:30:34]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:30:44]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:30:54]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:31:04]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:31:14]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:31:24]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:31:34]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:31:45]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:31:55]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:32:05]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:32:15]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:32:25]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:32:35]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:32:45]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:32:55]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:33:05]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:33:15]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:33:25]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:33:35]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:33:46]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:33:56]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:34:06]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:34:16]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:34:26]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:34:36]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:34:46]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:34:56]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:35:06]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:35:16]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:35:26]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:35:36]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:35:46]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:35:57]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:36:07]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:36:17]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:36:27]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:36:37]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:36:47]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:36:57]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:37:07]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:37:17]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:37:27]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:37:37]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:37:47]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:37:58]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:38:08]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:38:18]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:38:28]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:38:38]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:38:48]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:38:58]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:39:08]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:39:18]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:39:28]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:39:38]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:39:48]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:39:59]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:40:09]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:40:19]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:40:29]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:40:39]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:40:49]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
[Jog:SilJuk Make           ; 0:40:59]00002345>>=>DB_SUER= {call P_JOTT.up_jott_demon(1)}
