[FimsReadDemon             ; 0:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:23:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:23:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:23:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:23:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:23:02]Program End.
[FimsSendDemon             ; 0:28:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:28:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:28:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:28:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:28:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:28:01]Program End.
[FimsReadDemon             ; 0:33:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:33:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:33:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:33:01]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:33:01]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:33:01]Program End.
[FimsSendDemon             ; 0:35:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:35:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:35:02]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:35:02]Program End.
[FimsSendDemon             ; 0:38:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:38:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:38:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:38:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:38:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:38:02]Program End.
[FimsReadDemon             ; 0:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:43:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:43:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:43:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:43:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:43:02]Program End.
[FimsSendDemon             ; 0:48:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:48:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:48:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:48:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:48:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:48:01]Program End.
[FimsReadDemon             ; 0:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:53:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:53:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:53:01]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:53:01]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:53:01]Program End.
[FimsSendDemon             ; 0:58:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:58:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:58:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:58:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:58:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:58:02]Program End.
[FimsReadDemon             ; 1:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:03:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:03:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:03:01]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:03:01]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:03:01]Program End.
[FimsSendDemon             ; 1:05:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 1:05:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:05:01]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 1:05:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:05:01]Program End.
[FimsSendDemon             ; 1:08:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:08:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:08:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:08:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:08:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:08:02]Program End.
[FimsReadDemon             ; 1:13:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:13:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:13:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:13:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:13:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:13:02]Program End.
[FimsSendDemon             ; 1:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:18:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:18:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:18:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:18:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:18:01]Program End.
[FimsReadDemon             ; 1:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:23:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:23:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:23:01]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:23:01]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:23:01]Program End.
[FimsSendDemon             ; 1:28:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:28:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:28:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:28:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:28:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:28:01]Program End.
[FimsReadDemon             ; 1:33:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:33:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:33:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:33:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:33:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:33:02]Program End.
[FimsSendDemon             ; 1:35:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 1:35:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:35:01]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 1:35:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:35:01]Program End.
[FimsSendDemon             ; 1:38:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:38:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:38:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:38:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:38:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:38:02]Program End.
[FimsReadDemon             ; 1:43:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:43:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:43:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:43:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:43:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:43:02]Program End.
[FimsSendDemon             ; 1:48:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:48:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:48:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:48:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:48:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:48:02]Program End.
[FimsReadDemon             ; 1:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:53:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:53:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:53:01]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:53:01]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:53:01]Program End.
[FimsSendDemon             ; 1:58:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:58:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:58:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:58:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:58:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:58:02]Program End.
[FimsReadDemon             ; 2:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:03:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:03:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:03:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:03:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:03:02]Program End.
[FimsSendDemon             ; 2:05:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 2:05:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:05:02]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 2:05:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:05:02]Program End.
[FimsSendDemon             ; 2:08:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:08:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:08:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:08:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:08:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:08:01]Program End.
[FimsReadDemon             ; 2:13:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:13:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:13:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:13:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:13:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:13:02]Program End.
[FimsSendDemon             ; 2:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:18:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:18:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:18:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:18:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:18:02]Program End.
[FimsReadDemon             ; 2:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:23:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:23:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:23:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:23:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:23:02]Program End.
[FimsSendDemon             ; 2:28:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:28:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:28:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:28:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:28:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:28:02]Program End.
[FimsReadDemon             ; 2:33:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:33:04]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:33:04]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:33:04]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:33:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:33:06]Program End.
[FimsSendDemon             ; 2:35:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 2:35:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:35:01]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 2:35:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:35:01]Program End.
[FimsSendDemon             ; 2:38:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:38:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:38:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:38:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:38:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:38:02]Program End.
[FimsReadDemon             ; 2:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:43:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:43:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:43:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:43:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:43:02]Program End.
[FimsSendDemon             ; 2:48:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:48:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:48:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:48:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:48:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:48:02]Program End.
[FimsReadDemon             ; 2:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:53:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:53:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:53:01]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:53:01]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:53:01]Program End.
[FimsSendDemon             ; 2:58:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:58:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:58:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:58:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:58:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:58:02]Program End.
[FimsReadDemon             ; 3:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:03:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:03:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:03:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:03:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:03:02]Program End.
[FimsSendDemon             ; 3:05:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 3:05:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:05:02]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 3:05:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:05:02]Program End.
[FimsSendDemon             ; 3:08:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:08:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:08:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:08:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:08:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:08:01]Program End.
[FimsReadDemon             ; 3:13:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:13:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:13:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:13:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:13:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:13:02]Program End.
[FimsSendDemon             ; 3:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:18:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:18:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:18:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:18:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:18:02]Program End.
[FimsReadDemon             ; 3:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:23:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:23:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:23:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:23:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:23:02]Program End.
[FimsSendDemon             ; 3:28:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:28:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:28:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:28:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:28:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:28:01]Program End.
[FimsReadDemon             ; 3:33:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:33:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:33:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:33:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:33:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:33:02]Program End.
[FimsSendDemon             ; 3:35:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 3:35:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:35:01]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 3:35:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:35:01]Program End.
[FimsSendDemon             ; 3:38:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:38:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:38:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:38:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:38:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:38:02]Program End.
[FimsReadDemon             ; 3:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:43:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:43:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:43:01]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:43:01]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:43:01]Program End.
[FimsSendDemon             ; 3:48:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:48:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:48:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:48:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:48:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:48:02]Program End.
[FimsReadDemon             ; 3:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:53:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:53:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:53:01]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:53:01]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:53:01]Program End.
[FimsSendDemon             ; 3:58:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:58:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:58:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:58:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:58:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:58:01]Program End.
[FimsReadDemon             ; 4:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 4:03:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 4:03:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 4:03:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 4:03:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 4:03:02]Program End.
[FimsSendDemon             ; 4:05:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 4:05:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 4:05:01]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 4:05:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 4:05:01]Program End.
[FimsSendDemon             ; 4:08:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 4:08:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 4:08:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 4:08:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 4:08:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 4:08:01]Program End.
[FimsReadDemon             ; 4:13:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 4:13:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 4:13:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 4:13:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 4:13:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 4:13:02]Program End.
[FimsSendDemon             ; 4:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 4:18:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 4:18:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 4:18:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 4:18:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 4:18:02]Program End.
[FimsReadDemon             ; 4:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 4:23:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 4:23:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 4:23:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 4:23:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 4:23:02]Program End.
[FimsSendDemon             ; 4:28:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 4:28:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 4:28:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 4:28:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 4:28:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 4:28:02]Program End.
